ONev,Gyártó,"Képernyő méret",Memória,"Operációs rendszer",Üzemidő,"Felbontás
"
"Termék 1.","1. gyártó","4.7 col","2 GB","Android 4.1","20 óra","320x480
"
"Termék 2.","1. gyártó","5 col","1 GB","Android 4.2","50 óra","240x320
"
"Termék 3.","2. gyártó","4.4 col","1 GB","Android 4.4","2 óra","320x480
"
"Termék 4.","2. gyártó","4.7 col","4 GB","Android 4.2","78 óra","240x320
"
"Termék 5.","1. gyártó","5.2 col","2 GB","Android 4.1","132 óra","320x480
"
"Termék 6.","3. gyártó","6.2 col","2 GB","Android 4.2","41 óra","240x320
"
"Termék 7.","4. gyártó","4.5 col","1 GB","Android 4.1","8 óra","320x480
"
"Termék 8.","4. gyártó","4.7 col","16 GB","Android 4.4","8 óra","240x320
"
"Termék 9.","1. gyártó","4.7 col","2 GB","Android 4.1","20 óra","320x480
"
"Termék 10.","1. gyártó","5 col","1 GB","Android 4.2","50 óra","240x320
"
"Termék 11.","2. gyártó","4.4 col","1 GB","Android 4.4","2 óra","320x480
"
"Termék 12.","2. gyártó","4.7 col","4 GB","Android 4.2","78 óra","240x320
"
"Termék 13.","1. gyártó","5.2 col","2 GB","Android 4.1","132 óra","320x480
"
"Termék 14.","3. gyártó","6.2 col","2 GB","Android 4.2","41 óra","240x320
"
"Termék 15.","4. gyártó","4.5 col","1 GB","Android 4.1","8 óra","320x480
"
"Termék 16.","4. gyártó","4.7 col","16 GB","Android 4.4","8 óra","240x320
"
"Termék 17.","1. gyártó","4.7 col","2 GB","Android 4.1","20 óra","320x480
"
"Termék 18.","1. gyártó","5 col","1 GB","Android 4.2","50 óra","240x320
"
"Termék 19.","2. gyártó","4.4 col","1 GB","Android 4.4","2 óra","320x480
"
"Termék 20.","2. gyártó","4.7 col","4 GB","Android 4.2","78 óra","240x320
"
"Termék 21.","1. gyártó","5.2 col","2 GB","Android 4.1","132 óra","320x480
"
"Termék 22.","3. gyártó","6.2 col","2 GB","Android 4.2","41 óra","240x320
"
"Termék 23.","4. gyártó","4.5 col","1 GB","Android 4.1","8 óra","320x480
"
"Termék 24.","4. gyártó","4.7 col","16 GB","Android 4.4","8 óra","240x320
"
"Termék 25.","1. gyártó","4.7 col","2 GB","Android 4.1","20 óra","320x480
"
"Termék 26.","1. gyártó","5 col","1 GB","Android 4.2","50 óra","240x320
"
"Termék 27.","2. gyártó","4.4 col","1 GB","Android 4.4","2 óra","320x480
"
"Termék 28.","2. gyártó","4.7 col","4 GB","Android 4.2","78 óra","240x320
"
"Termék 29.","1. gyártó","5.2 col","2 GB","Android 4.1","132 óra","320x480
"
"Termék 30.","3. gyártó","6.2 col","2 GB","Android 4.2","41 óra","240x320
"
"Termék 31.","4. gyártó","4.5 col","1 GB","Android 4.1","8 óra","320x480
"
"Termék 32.","4. gyártó","4.7 col","16 GB","Android 4.4","8 óra","240x320
"
"Termék 33.","1. gyártó","4.4 col","1 GB","Android 4.1","20 óra","320x480
"
"Termék 34.","1. gyártó","4.7 col","4 GB","Android 4.2","50 óra","240x320
"
"Termék 35.","2. gyártó","5.2 col","2 GB","Android 4.4","2 óra","320x480
"
"Termék 36.","2. gyártó","6.2 col","2 GB","Android 4.2","78 óra","240x320
"
"Termék 37.","1. gyártó","4.5 col","1 GB","Android 4.1","132 óra","320x480
"
"Termék 38.","3. gyártó","4.7 col","16 GB","Android 4.2","41 óra","240x320
"
"Termék 39.","4. gyártó","4.7 col","2 GB","Android 4.1","8 óra","320x480
"
"Termék 40.","4. gyártó","5 col","1 GB","Android 4.4","8 óra","240x320
"
"Termék 41.","1. gyártó","4.4 col","1 GB","Android 4.2","20 óra","320x480
"
"Termék 42.","1. gyártó","4.7 col","4 GB","Android 4.4","50 óra","240x320
"
"Termék 43.","2. gyártó","5.2 col","2 GB","Android 4.2","2 óra","320x480
"
"Termék 44.","2. gyártó","6.2 col","2 GB","Android 4.1","78 óra","240x320
"
"Termék 45.","1. gyártó","4.5 col","1 GB","Android 4.2","132 óra","320x480
"
"Termék 46.","3. gyártó","4.7 col","16 GB","Android 4.1","41 óra","240x320
"
"Termék 47.","1. gyártó","6.2 col","2 GB","Android 4.4","50 óra","240x320
"
"Termék 48.","2. gyártó","4.5 col","1 GB","Android 4.2","2 óra","240x320
"
"Termék 49.","2. gyártó","4.7 col","16 GB","Android 4.1","78 óra","320x480
"
"Termék 50.","1. gyártó","4.7 col","2 GB","Android 4.2","132 óra","240x320
"
"Termék 51.","3. gyártó","5 col","1 GB","Android 4.1","41 óra","320x480
"
"Termék 52.","4. gyártó","4.4 col","1 GB","Android 4.4","8 óra","240x320
"
"Termék 53.","1. gyártó","4.5 col","1 GB","Android 4.2","132 óra","320x480
"
"Termék 54.","3. gyártó","4.7 col","16 GB","Android 4.1","41 óra","240x320
"
"Termék 55.","4. gyártó","4.4 col","1 GB","Android 4.4","8 óra","320x480
"
"Termék 56.","4. gyártó","4.7 col","4 GB","Android 4.1","8 óra","240x320
"
"Termék 57.","1. gyártó","5.2 col","2 GB","Android 4.2","20 óra","320x480
"
"Termék 58.","1. gyártó","6.2 col","2 GB","Android 4.4","50 óra","240x320
"
"Termék 59.","2. gyártó","4.5 col","1 GB","Android 4.2","2 óra","320x480
"
"Termék 60.","2. gyártó","4.7 col","16 GB","Android 4.1","78 óra","240x320
"
"Termék 61.","1. gyártó","4.7 col","2 GB","Android 4.2","132 óra","320x480
"
"Termék 62.","3. gyártó","5 col","1 GB","Android 4.1","41 óra","240x320
"
"Termék 63.","4. gyártó","4.4 col","1 GB","Android 4.4","8 óra","320x480
"
"Termék 64.","4. gyártó","4.7 col","4 GB","Android 4.1","8 óra","240x320
"
"Termék 65.","1. gyártó","5.2 col","2 GB","Android 4.2","20 óra","320x480
"
